Pathway or Process	XD-score	q-value	Overlap/Size
Drug metabolism - other enzymes	 0.00000	 1.00000	   0/16
Metabolic pathways	 0.00000	 1.00000	  0/640
Purine metabolism	 0.00000	 1.00000	  0/110
Primary immunodeficiency	 0.00000	 1.00000	   0/33
Cell adhesion molecules (CAMs)	 0.00000	 1.00000	  0/104
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	 0.00000	 1.00000	   0/62
MAPK signaling pathway	 0.00000	 1.00000	  0/233
ErbB signaling pathway	 0.00000	 1.00000	   0/84
Chemokine signaling pathway	 0.00000	 1.00000	  0/170
mTOR signaling pathway	 0.00000	 1.00000	   0/49
Apoptosis	 0.00000	 1.00000	   0/81
VEGF signaling pathway	 0.00000	 1.00000	   0/62
Focal adhesion	 0.00000	 1.00000	  0/186
Tight junction	 0.00000	 1.00000	  0/113
Toll-like receptor signaling pathway	 0.00000	 1.00000	   0/90
Jak-STAT signaling pathway	 0.00000	 1.00000	  0/134
T cell receptor signaling pathway	 0.00000	 1.00000	  0/102
B cell receptor signaling pathway	 0.00000	 1.00000	   0/69
Fc epsilon RI signaling pathway	 0.00000	 1.00000	   0/65
Fc gamma R-mediated phagocytosis	 0.00000	 1.00000	   0/82
Neurotrophin signaling pathway	 0.00000	 1.00000	  0/121
Insulin signaling pathway	 0.00000	 1.00000	  0/123
Progesterone-mediated oocyte maturation	 0.00000	 1.00000	   0/79
Adipocytokine signaling pathway	 0.00000	 1.00000	   0/57
Chagas disease	 0.00000	 1.00000	   0/99
Pathways in cancer	 0.00000	 1.00000	  0/304
Colorectal cancer	 0.00000	 1.00000	   0/61
Renal cell carcinoma	 0.00000	 1.00000	   0/68
Pancreatic cancer	 0.00000	 1.00000	   0/70
Endometrial cancer	 0.00000	 1.00000	   0/50
Glioma	 0.00000	 1.00000	   0/60
Prostate cancer	 0.00000	 1.00000	   0/84
Melanoma	 0.00000	 1.00000	   0/62
Chronic myeloid leukemia	 0.00000	 1.00000	   0/69
Acute myeloid leukemia	 0.00000	 1.00000	   0/52
Small cell lung cancer	 0.00000	 1.00000	   0/82
Non-small cell lung cancer	 0.00000	 1.00000	   0/51
Peroxisome	 0.00000	 1.00000	   0/56
Amino sugar and nucleotide sugar metabolism	 0.00000	 1.00000	   0/25
RIG-I-like receptor signaling pathway	 0.00000	 1.00000	   0/55
Oxidative phosphorylation	 0.00000	 1.00000	   0/94
Cardiac muscle contraction	 0.00000	 1.00000	   0/52
Alzheimer's disease	 0.00000	 1.00000	  0/138
Parkinson's disease	 0.00000	 1.00000	   0/99
Huntington's disease	 0.00000	 1.00000	  0/149
Proteasome	 0.00000	 1.00000	   0/41
Phagosome	 0.00000	 1.00000	  0/116
Antigen processing and presentation	 0.00000	 1.00000	   0/50
Intestinal immune network for IgA production	 0.00000	 1.00000	   0/36
Type I diabetes mellitus	 0.00000	 1.00000	   0/29
Leishmaniasis	 0.00000	 1.00000	   0/62
Asthma	 0.00000	 1.00000	   0/19
Autoimmune thyroid disease	 0.00000	 1.00000	   0/32
Systemic lupus erythematosus	 0.00000	 1.00000	   0/67
Allograft rejection	 0.00000	 1.00000	   0/25
Graft-versus-host disease	 0.00000	 1.00000	   0/25
Viral myocarditis	 0.00000	 1.00000	   0/57
Glycerophospholipid metabolism	 0.00000	 1.00000	   0/35
Ether lipid metabolism	 0.00000	 1.00000	   0/16
Arachidonic acid metabolism	 0.00000	 1.00000	   0/26
Linoleic acid metabolism	 0.00000	 1.00000	   0/11
Vascular smooth muscle contraction	 0.00000	 1.00000	   0/89
Long-term depression	 0.00000	 1.00000	   0/57
GnRH signaling pathway	 0.00000	 1.00000	   0/83
Endocytosis	 0.00000	 1.00000	  0/178
Wnt signaling pathway	 0.00000	 1.00000	  0/128
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	 0.00000	 1.00000	   0/14
Protein processing in endoplasmic reticulum	 0.00000	 1.00000	  0/139
Leukocyte transendothelial migration	 0.00000	 1.00000	   0/98
Base excision repair	 0.00000	 1.00000	   0/32
Lysosome	 0.00000	 1.00000	   0/75
Ubiquitin mediated proteolysis	 0.00000	 1.00000	  0/119
Aminoacyl-tRNA biosynthesis	 0.00000	 1.00000	   0/23
ABC transporters	 0.00000	 1.00000	   0/20
Bacterial invasion of epithelial cells	 0.00000	 1.00000	   0/64
PPAR signaling pathway	 0.00000	 1.00000	   0/39
Spliceosome	 0.00000	 1.00000	  0/117
Regulation of actin cytoskeleton	 0.00000	 1.00000	  0/187
Pathogenic Escherichia coli infection	 0.00000	 1.00000	   0/47
Shigellosis	 0.00000	 1.00000	   0/56
Homologous recombination	 0.00000	 1.00000	   0/28
Non-homologous end-joining	 0.00000	 1.00000	   0/13
Nicotinate and nicotinamide metabolism	 0.00000	 1.00000	   0/11
Axon guidance	 0.00000	 1.00000	  0/111
Lysine degradation	 0.00000	 1.00000	   0/32
Neuroactive ligand-receptor interaction	 0.00000	 1.00000	  0/214
Adherens junction	 0.00000	 1.00000	   0/70
Cell cycle	 0.00000	 1.00000	  0/120
Oocyte meiosis	 0.00000	 1.00000	   0/94
p53 signaling pathway	 0.00000	 1.00000	   0/62
Retinol metabolism	 0.00000	 1.00000	   0/12
Bladder cancer	 0.00000	 1.00000	   0/38
N-Glycan biosynthesis	 0.00000	 1.00000	   0/25
Epithelial cell signaling in Helicobacter pylori infection	 0.00000	 1.00000	   0/59
RNA degradation	 0.00000	 1.00000	   0/53
Pyrimidine metabolism	 0.00000	 1.00000	   0/70
Nucleotide excision repair	 0.00000	 1.00000	   0/42
SNARE interactions in vesicular transport	 0.00000	 1.00000	   0/28
Basal cell carcinoma	 0.00000	 1.00000	   0/44
Cytosolic DNA-sensing pathway	 0.00000	 1.00000	   0/40
TGF-beta signaling pathway	 0.00000	 1.00000	   0/79
Collecting duct acid secretion	 0.00000	 1.00000	   0/16
Vibrio cholerae infection	 0.00000	 1.00000	   0/42
ECM-receptor interaction	 0.00000	 1.00000	   0/77
Amoebiasis	 0.00000	 1.00000	   0/98
Glycolysis / Gluconeogenesis	 0.00000	 1.00000	   0/42
Glycerolipid metabolism	 0.00000	 1.00000	   0/20
Thyroid cancer	 0.00000	 1.00000	   0/25
Cytokine-cytokine receptor interaction	 0.00000	 1.00000	  0/224
Tryptophan metabolism	 0.00000	 1.00000	   0/26
Cysteine and methionine metabolism	 0.00000	 1.00000	   0/27
Hypertrophic cardiomyopathy (HCM)	 0.00000	 1.00000	   0/72
Dilated cardiomyopathy	 0.00000	 1.00000	   0/77
Gap junction	 0.00000	 1.00000	   0/80
NOD-like receptor signaling pathway	 0.00000	 1.00000	   0/59
Phosphatidylinositol signaling system	 0.00000	 1.00000	   0/62
Long-term potentiation	 0.00000	 1.00000	   0/63
Inositol phosphate metabolism	 0.00000	 1.00000	   0/47
Fatty acid metabolism	 0.00000	 1.00000	   0/26
Valine, leucine and isoleucine degradation	 0.00000	 1.00000	   0/27
Natural killer cell mediated cytotoxicity	 0.00000	 1.00000	  0/108
Amyotrophic lateral sclerosis (ALS)	 0.00000	 1.00000	   0/47
Melanogenesis	 0.00000	 1.00000	   0/82
Vasopressin-regulated water reabsorption	 0.00000	 1.00000	   0/37
Regulation of autophagy	 0.00000	 1.00000	   0/21
DNA replication	 0.00000	 1.00000	   0/33
Sphingolipid metabolism	 0.00000	 1.00000	   0/22
One carbon pool by folate	 0.00000	 1.00000	   0/10
RNA polymerase	 0.00000	 1.00000	   0/26
Basal transcription factors	 0.00000	 1.00000	   0/32
Notch signaling pathway	 0.00000	 1.00000	   0/42
Calcium signaling pathway	 0.00000	 1.00000	  0/152
Salivary secretion	 0.00000	 1.00000	   0/72
Gastric acid secretion	 0.00000	 1.00000	   0/63
Mismatch repair	 0.00000	 1.00000	   0/23
Steroid hormone biosynthesis	 0.00000	 1.00000	   0/15
Starch and sucrose metabolism	 0.00000	 1.00000	   0/21
Porphyrin and chlorophyll metabolism	 0.00000	 1.00000	   0/17
Metabolism of xenobiotics by cytochrome P450	 0.00000	 1.00000	   0/20
Drug metabolism - cytochrome P450	 0.00000	 1.00000	   0/17
Complement and coagulation cascades	 0.00000	 1.00000	   0/65
Selenoamino acid metabolism	 0.00000	 1.00000	   0/17
Glyoxylate and dicarboxylate metabolism	 0.00000	 1.00000	   0/10
