"SUID","ACTION_DIRECTION","ACTION_SCORE","ACTION_TYPE","edge-label","EDGE_UNIQUE_SUID","EVIDENCE_CODE","INITIAL_SOURCE_NAME","INITIAL_TARGET_NAME","interaction","INTERACTION_TYPE","KappaScore","name","Regulates Source","Regulates Target","selected","shared interaction","shared name","SIGNUM","SOURCE_NAME","SOURCE_SYMBOL_NAME","TARGET_NAME","TARGET_SYMBOL_NAME","UNIQUE_ID"
"975",,,,,"975","kappa:0.46",,,"term-term","term-term","0.4576271186440678","voltage-gated ion channel activity (term-term) action potential",,,"false","term-term","voltage-gated ion channel activity (term-term) action potential","+",,,,,"GO:0005244 (term-term) GO:0001508"
"976",,,,,"976","is_a:",,,"term-term","term-term","2.0","voltage-gated ion channel activity (term-term-ontology) ion channel activity","POSITIVELY_REGULATES",,"false","term-term","voltage-gated ion channel activity (term-term-ontology) ion channel activity","+",,,,,"GO:0005244 (term-term-ontology) GO:0005216"
"978",,,,,"978","kappa:0.6",,,"term-term","term-term","0.6","voltage-gated potassium channel activity (term-term) voltage-gated ion channel activity",,,"false","term-term","voltage-gated potassium channel activity (term-term) voltage-gated ion channel activity","+",,,,,"GO:0005249 (term-term) GO:0005244"
"980",,,,,"980","kappa:0.45",,,"term-term","term-term","0.4482758620689655","cation channel activity (term-term) ion channel activity",,,"false","term-term","cation channel activity (term-term) ion channel activity","+",,,,,"GO:0005261 (term-term) GO:0005216"
"981",,,,,"981","is_a:",,,"term-term","term-term","2.0","cation channel activity (term-term-ontology) ion channel activity","POSITIVELY_REGULATES",,"false","term-term","cation channel activity (term-term-ontology) ion channel activity","+",,,,,"GO:0005261 (term-term-ontology) GO:0005216"
"983",,,,,"983","is_a:",,,"term-term","term-term","2.0","calcium channel activity (term-term-ontology) cation channel activity","POSITIVELY_REGULATES",,"false","term-term","calcium channel activity (term-term-ontology) cation channel activity","+",,,,,"GO:0005262 (term-term-ontology) GO:0005261"
"985",,,,,"985","kappa:0.48",,,"term-term","term-term","0.47540983606557374","potassium channel activity (term-term) voltage-gated ion channel activity",,,"false","term-term","potassium channel activity (term-term) voltage-gated ion channel activity","+",,,,,"GO:0005267 (term-term) GO:0005244"
"986",,,,,"986","kappa:0.85",,,"term-term","term-term","0.8461538461538461","potassium channel activity (term-term) voltage-gated potassium channel activity",,,"false","term-term","potassium channel activity (term-term) voltage-gated potassium channel activity","+",,,,,"GO:0005267 (term-term) GO:0005249"
"987",,,,,"987","is_a:",,,"term-term","term-term","2.0","potassium channel activity (term-term-ontology) voltage-gated potassium channel activity",,"POSITIVELY_REGULATES","false","term-term","potassium channel activity (term-term-ontology) voltage-gated potassium channel activity","+",,,,,"GO:0005267 (term-term-ontology) GO:0005249"
"988",,,,,"988","is_a:",,,"term-term","term-term","2.0","potassium channel activity (term-term-ontology) cation channel activity","POSITIVELY_REGULATES",,"false","term-term","potassium channel activity (term-term-ontology) cation channel activity","+",,,,,"GO:0005267 (term-term-ontology) GO:0005261"
"990",,,,,"990","kappa:0.48",,,"term-term","term-term","0.47540983606557374","potassium ion transport (term-term) voltage-gated ion channel activity",,,"false","term-term","potassium ion transport (term-term) voltage-gated ion channel activity","+",,,,,"GO:0006813 (term-term) GO:0005244"
"991",,,,,"991","kappa:0.85",,,"term-term","term-term","0.8461538461538461","potassium ion transport (term-term) voltage-gated potassium channel activity",,,"false","term-term","potassium ion transport (term-term) voltage-gated potassium channel activity","+",,,,,"GO:0006813 (term-term) GO:0005249"
"992",,,,,"992","kappa:1.0",,,"term-term","term-term","1.0","potassium ion transport (term-term) potassium channel activity",,,"false","term-term","potassium ion transport (term-term) potassium channel activity","+",,,,,"GO:0006813 (term-term) GO:0005267"
